text,label,category,language,source_dataset
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",SAFE,SAFE,English,UCI SMS Spam Collection
Ok lar... Joking wif u oni...,SAFE,SAFE,English,UCI SMS Spam Collection
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
U dun say so early hor... U c already then say...,SAFE,SAFE,English,UCI SMS Spam Collection
"Nah I don't think he goes to usf, he lives around here though",SAFE,SAFE,English,UCI SMS Spam Collection
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
Even my brother is not like to speak with me. They treat me like aids patent.,SAFE,SAFE,English,UCI SMS Spam Collection
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,SAFE,SAFE,English,UCI SMS Spam Collection
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,SCAM,LOTTERY_SCAM,English,UCI SMS Spam Collection
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",SAFE,SAFE,English,UCI SMS Spam Collection
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",SCAM,OTHER_SCAM,English,UCI SMS Spam Collection
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",SCAM,PHISHING,English,UCI SMS Spam Collection
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,SAFE,SAFE,English,UCI SMS Spam Collection
I HAVE A DATE ON SUNDAY WITH WILL!!,SAFE,SAFE,English,UCI SMS Spam Collection
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",SCAM,PHISHING,English,UCI SMS Spam Collection
Oh k...i'm watching here:),SAFE,SAFE,English,UCI SMS Spam Collection
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,SAFE,SAFE,English,UCI SMS Spam Collection
Fine if thats the way u feel. Thats the way its gota b,SAFE,SAFE,English,UCI SMS Spam Collection
